"","Property_type","City","Country","Detail_clean","Bed_count","Final_price","Discount","Start_date","End_date","Duration_days","Nb_reviews","Rating","Location_full"
"711","Room","New York","US","Guest room available short stays",2,217,FALSE,2023-05-01,2023-05-06,5,4,5,"New York"
"712","Cabin","Fredonia","US","Tiny House Cozy Cabin by Zion, Grand Canyon, Bryce",4,188,FALSE,2023-05-01,2023-05-06,5,611,5,"Fredonia"
"713","Treehouse","Dahlonega","US","Natures Nook- A Modern Treehouse Near Wineries",3,336,FALSE,2023-05-01,2023-05-06,5,163,4.94,"Dahlonega"
"714","Farm stay","Sandy Valley","US","Conestoga Wagon on Dude Ranch NEAR LAS VEGAS",1,147,FALSE,2023-05-01,2023-05-06,5,196,4.86,"Sandy Valley"
"715","Treehouse","Travelers Rest","US","The Forestry House - A modern luxury treehouse.",1,305,FALSE,2023-05-01,2023-05-06,5,NA,NA,"Travelers Rest"
"716","Treehouse","Fernwood","US","Crystal Peak Lookout",3,230,FALSE,2023-05-05,2023-05-10,5,470,4.88,"Fernwood"
"717","Cabin","Packwood","US","Heartwood Cabin at Mt. Rainier",3,354,FALSE,2023-05-01,2023-05-06,5,246,4.98,"Packwood"
"718","Cabin","Nashville","US","Modern Nashville Home in the Woods",1,278,FALSE,2023-05-05,2023-05-10,5,290,4.99,"Nashville"
"719","Treehouse","Fredericksburg","US","The Leaf Treehouse",2,641,FALSE,2023-05-01,2023-05-06,5,339,4.99,"Fredericksburg"
"720","Cabin","Bryson City","US","Secluded View! A-Frame Hot Tub and Fire Pit",2,361,FALSE,2023-05-01,2023-05-06,5,20,4.95,"Bryson City"
"721","Cabin","Branson","US","Lakefront A-Frame Cabin on Table Rock Lake",2,129,FALSE,2023-05-01,2023-05-06,5,22,4.86,"Branson"
"722","Home","Livingston","US","The Cargill-Earl Guesthouse at Erik's Ranch",3,426,FALSE,2023-05-01,2023-05-06,5,323,4.88,"Livingston"
"723","Home","Taos","US","Taos Mesa Studio Earthship",1,194,FALSE,2023-05-01,2023-05-06,5,781,4.91,"Taos"
"724","Place to stay","Shippensburg","US","A- Frame Cabin",2,273,FALSE,2023-05-01,2023-05-06,5,168,5,"Shippensburg"
"725","Home","Scottsdale","US","Diamond Desert Escape",5,384,FALSE,2023-05-03,2023-05-08,5,34,4.97,"Scottsdale"
"726","Cabin","Ronan","US","Calowahcan Cabin NEW hot tub",3,213,FALSE,2023-05-01,2023-05-06,5,401,5,"Ronan"
"727","Home","Fairlee","US","Cozy Bow House Perched in Trees w Hot Tub View",5,244,FALSE,2023-05-01,2023-05-06,5,344,4.95,"Fairlee"
"728","Yurt","Rising Fawn","US","Cherry Blossom Yurt on Lookout Mountain",1,157,FALSE,2023-05-01,2023-05-06,5,666,4.97,"Rising Fawn"
"729","Cabin","Boone","US","Storybook A-Frame Cabin in the Woods Close to Downtown Boone",2,218,FALSE,2023-05-01,2023-05-06,5,372,4.99,"Boone"
"730","Cabin","Urbana","US","The Cabin at Maple View - Accepting Reservations",2,123,FALSE,2023-05-01,2023-05-06,5,599,4.99,"Urbana"
"731","Cabin","Martin City","US","Romantic Cabin - 9 miles to Glacier National Park",2,171,FALSE,2023-05-01,2023-05-06,5,237,4.91,"Martin City"
"732","Home","Austin","US","Enjoy the Heated Pool at a Beautifully Designed Getaway",1,213,FALSE,2023-05-01,2023-05-06,5,853,4.96,"Austin"
"733","Cabin","Livingston","US","10-Acre Yellowstone Cabin wStunning Mtn View",4,222,FALSE,2023-05-01,2023-05-06,5,101,4.93,"Livingston"
"734","Condo","Avalon","US","The Big Blue, 1 BRDen!",2,597,FALSE,2023-05-01,2023-05-06,5,539,4.79,"Avalon"
"735","Tent","Moab","US","Moab Glamping Luxury Tent for 2",1,254,FALSE,2023-05-01,2023-05-06,5,279,4.92,"Moab"
"736","Home","Destin","US","Villa Loggia! 5min walk to Prvt BeachpoolSmartTV",6,417,FALSE,2023-05-06,2023-05-11,5,34,4.94,"Destin"
"737","Cabin","Crivitz","US","Scenic, Serene Lakefront Cabin Wood Stove",3,149,FALSE,2023-05-01,2023-05-06,5,72,4.99,"Crivitz"
